Date,AAPL,AUTO.L,MU,NVDA,OCDO.L,SGE.L,TSM
2024-10-14,229.5790252685547,876.8283081054688,107.78411865234375,137.85459899902344,384.5,1025.0985107421875,188.08251953125
2024-10-15,232.1100616455078,877.628173828125,103.78474426269531,131.3946990966797,369.6000061035156,1012.603515625,183.1116180419922
2024-10-16,230.05543518066406,882.627197265625,108.67949676513672,135.50827026367188,361.5,1011.6039428710938,183.45408630371094
2024-10-17,230.4226837158203,890.4256591796875,111.47508239746094,136.7163848876953,359.0,1027.5975341796875,201.41981506347656
2024-10-18,233.25148010253906,885.2266845703125,110.57970428466797,137.7847137451172,366.70001220703125,1040.0927734375,196.46847534179688
2024-10-21,234.72047424316406,878.0281372070312,108.52031707763672,143.48580932617188,354.5,1026.0982666015625,197.61337280273438
2024-10-22,234.10507202148438,876.228515625,107.26678466796875,143.36599731445312,359.70001220703125,1029.596923828125,194.21788024902344
2024-10-23,229.04302978515625,871.62939453125,104.51099395751953,139.34228515625,357.0,1018.6011352539062,196.54676818847656
2024-10-24,228.8544464111328,881.4274291992188,106.3017578125,140.19094848632812,354.6000061035156,1020.600341796875,193.6796875
2024-10-25,229.68820190429688,880.2277221679688,107.3563232421875,141.31918334960938,358.0,1014.6026611328125,199.07139587402344
2024-10-28,231.6633758544922,892.625244140625,105.8441162109375,140.30076599121094,357.29998779296875,1009.6046752929688,190.49948120117188
2024-10-29,231.9313507080078,874.4288330078125,107.62493896484375,141.02963256835938,351.70001220703125,1008.1051635742188,192.71095275878906
2024-10-30,228.38795471191406,865.6304931640625,103.54598236083984,139.12261962890625,350.0,988.2130126953125,190.30377197265625
2024-10-31,224.22911071777344,839.0357666015625,99.13871002197266,132.55287170410156,347.8999938964844,969.0205688476562,186.4483642578125
2024-11-01,221.25144958496094,844.0347900390625,99.21829223632812,135.18875122070312,350.0,984.6144409179688,188.806640625
2024-11-04,220.35812377929688,844.4346923828125,101.2080307006836,135.83775329589844,357.79998779296875,979.616455078125,187.44647216796875
2024-11-05,221.78741455078125,840.2355346679688,104.94873809814453,139.6917266845703,351.79998779296875,989.8123779296875,191.55628967285156
2024-11-06,221.06285095214844,843.2349853515625,111.25621032714844,145.38282775878906,350.6000061035156,1007.6054077148438,189.07083129882812
2024-11-07,225.7874298095703,782.8467407226562,112.8281021118164,148.6477508544922,347.6000061035156,1032.0958251953125,196.86968994140625
2024-11-08,225.51914978027344,777.4478149414062,111.32585906982422,147.39967346191406,341.3999938964844,1041.0924072265625,196.87945556640625
2024-11-11,222.8064727783203,789.2455444335938,108.09252166748047,145.03338623046875,343.5,1074.5791015625,189.8830108642578
2024-11-12,222.8064727783203,792.8447875976562,103.56587219238281,148.0586395263672,331.70001220703125,1057.5859375,187.6519775390625
2024-11-13,223.69082641601562,787.44580078125,99.40731811523438,146.04177856445312,327.20001220703125,1068.5816650390625,182.65170288085938
2024-11-14,226.77113342285156,794.8443603515625,98.67110443115234,146.531005859375,333.0,1077.078125,184.45217895507812
2024-11-15,223.5715789794922,794.8443603515625,95.84568786621094,141.7584991455078,320.20001220703125,1064.083251953125,182.01565551757812
2024-11-18,226.57240295410156,801.2431640625,97.00968933105469,139.93133544921875,313.8999938964844,1078.57763671875,183.45408630371094
2024-11-19,226.8307647705078,802.0430297851562,97.22856140136719,146.7806396484375,316.5,1076.5784912109375,185.59706115722656
